"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules"
"L1812","internal","com.google.gson.internal","L106","L103","0.145035","37","334","76","0","0","0","0","0.37037","0.259853","956","50","85","0.297794","0.227328","1677","81","191","2723","4146","77","67","0","24","2","287","3","2","202","2","5700","8223","204","147","34","0","46","33","2","538","2903","62","44","0","2","3","418","2","0","9","1929","45","476","258","189","22","5","39","6","11","0","0"
"L5437","annotations","com.google.gson.annotations","L106","L103","0","0","0","0","0","0","0","0","1","0.832061","327","7","0","1","0.832061","327","7","0","66","420","0","0","0","0","0","8","0","0","2","0","66","420","0","0","18","0","6","0","0","8","0","0","0","0","0","0","2","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0"
"L6606","reflect","com.google.gson.reflect","L106","L103","0.104152","1","2","2","0","0","0","0","0.55","0.367454","140","11","9","0.55","0.367454","140","11","9","241","433","9","8","0","5","0","26","0","0","18","0","241","433","9","8","24","0","3","5","0","26","123","0","2","0","0","0","18","0","0","0","68","3","43","28","10","1","0","1","0","6","0","0"
"L6773","stream","com.google.gson.stream","L106","L103","0.219329","56","415","169","0.0475896","0.070632","77","76","0.229075","0.204416","972","52","175","0.229075","0.204416","972","52","175","3783","5175","76","9","2","2","0","256","13","0","222","5","3783","5175","76","9","24","2","8","2","0","256","2420","13","6","1","0","0","222","5","0","16","902","27","567","547","31","6","0","18","0","8","0","0"
"L7490","common","com.google.gson.common","L106","L103","0.167252","3","14","3","0","0","0","0","0.0547945","0.11215","48","4","69","0.0547945","0.11215","48","4","69","380","496","40","23","0","12","0","50","30","0","50","0","380","496","40","23","18","0","2","12","0","50","155","30","23","0","0","0","50","0","0","2","262","3","37","8","10","1","0","2","0","21","0","0"
"L7863","functional","com.google.gson.functional","L106","L103","0.04976","17","78","36","0","0","0","0","0.146575","0.133647","1277","107","623","0.146575","0.133647","1277","107","623","8278","11010","301","401","8","15","5","980","31","0","840","40","8278","11010","301","401","18","8","54","15","5","980","4028","31","63","4","0","0","840","40","0","7","3767","99","1704","1372","326","20","4","79","0","9","0","0"
"L13292","metrics","com.google.gson.metrics","L106","L103","0.230115","7","56","11","0.0634006","0.0839695","22","22","0.459459","0.168108","175","17","20","0.459459","0.168108","175","17","20","866","1152","116","41","2","2","1","72","16","0","45","5","866","1152","116","41","26","2","6","2","1","72","415","16","6","0","0","0","45","5","0","8","414","28","134","22","113","16","0","5","0","14","0","0"
"L14080","regression","com.google.gson.regression","L106","L103","0","0","0","0","0","0","0","0","0","0.327273","18","0","3","0","0.327273","18","0","3","37","63","3","3","0","0","0","4","0","0","3","0","37","63","3","3","18","0","1","0","0","4","10","0","1","0","0","0","3","0","0","0","17","1","3","2","2","0","0","0","0","0","0","0"
"L14127","protobuf","com.google.gson.protobuf","L106","L103","0.0142755","1","6","1","0.0263158","0.0434783","11","11","0.636364","0.341146","131","7","4","0.321429","0.256614","194","9","19","253","418","14","2","1","4","0","15","2","1","8","2","562","825","20","5","25","1","4","4","0","32","181","2","5","1","0","1","22","5","0","1","85","5","51","32","20","1","0","4","0","0","0","0"
"L538","functional","com.google.gson.codegen.functional","L182","L103","0","0","0","0","0","0","0","0","0","0.563636","31","0","2","0","0.563636","31","0","2","24","65","2","2","0","2","0","4","0","0","4","0","24","65","2","2","19","0","2","2","0","4","5","0","1","0","0","0","4","0","0","0","12","2","0","2","0","0","0","0","0","0","0","0"
"L565","android","com.google.gson.examples.android","L564","L103","0","0","0","0","0","0","0","0","0.5","0.363636","20","1","1","0.1875","0.298507","60","3","13","35","61","0","1","0","0","0","2","0","1","1","0","141","228","7","3","19","0","3","8","0","14","64","1","3","0","0","1","13","0","0","2","41","1","15","1","5","2","0","2","0","8","0","0"
"L689","examples","com.google.gson.extras.examples","L688","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.294118","15","0","2","0","0","0","0","0","0","0","0","0","1","0","0","36","56","2","2","20","0","1","0","0","3","16","0","1","0","0","1","2","0","0","0","12","2","2","2","0","2","0","0","0","0","0","0"
"L2094","bind","com.google.gson.internal.bind","L1812","L103","0.0996419","25","192","48","0","0","0","0","0.173228","0.156368","496","22","105","0.204545","0.17573","614","27","105","2676","3496","120","74","0","6","0","234","59","1","206","0","2880","3849","122","75","27","0","19","6","0","242","1447","59","19","0","0","1","210","0","0","4","986","10","191","121","62","1","1","13","6","1","0","0"
"L5027","reflect","com.google.gson.internal.reflect","L1812","L103","0","0","0","0","0","0","0","0","0.8","0.52451","107","4","1","0.8","0.52451","107","4","1","97","228","5","5","0","3","0","9","0","0","6","0","97","228","5","5","26","0","4","3","0","9","31","0","2","0","0","0","6","0","0","0","21","3","2","1","1","3","0","0","0","0","0","0"
"L14284","functional","com.google.gson.protobuf.functional","L14127","L103","0","0","0","0","0","0","0","0","0.117647","0.169355","63","2","15","0.117647","0.169355","63","2","15","309","407","6","3","0","0","0","17","0","0","14","3","309","407","6","3","19","0","3","0","0","17","76","0","3","0","0","0","14","3","0","1","44","4","35","32","4","0","0","4","0","0","0","0"
"L611","model","com.google.gson.examples.android.model","L565","L103","0","0","0","0","0","0","0","0","0.142857","0.273973","40","2","12","0.142857","0.273973","40","2","12","106","167","7","2","0","8","0","12","1","0","12","0","106","167","7","2","19","0","2","8","0","12","46","1","2","0","0","0","12","0","0","2","34","1","5","1","3","2","0","2","0","0","0","0"
"L690","rawcollections","com.google.gson.extras.examples.rawcollections","L689","L103","0","0","0","0","0","0","0","0","0","0.294118","15","0","2","0","0.294118","15","0","2","36","56","2","2","0","0","0","3","0","0","2","0","36","56","2","2","20","0","1","0","0","3","16","0","1","0","0","0","2","0","0","0","12","2","2","2","0","2","0","0","0","0","0","0"
"L3749","util","com.google.gson.internal.bind.util","L2094","L103","0.374793","3","10","3","0.206799","0.295566","73","60","1","0.36646","118","5","0","1","0.36646","118","5","0","204","353","2","1","0","0","0","8","0","0","4","0","204","353","2","1","20","0","1","0","0","8","149","0","1","0","0","0","4","0","0","1","29","1","4","1","4","0","0","1","0","0","0","0"
